"Threshold","FPR","TPR","EvalWeighting","Design","Model","TrainWeighting","Fold","AUC"
0.418602868337152,1,1,"record_equal","tenfold","M1","record_equal",5,0.666666666666667
Inf,0,0,"record_equal","tenfold","M1","record_equal",6,0.142857142857143
0.905760683381836,0.285714285714286,0,"record_equal","tenfold","M1","record_equal",6,0.142857142857143
0.854670049789749,0.857142857142857,0,"record_equal","tenfold","M1","record_equal",6,0.142857142857143
0.816681203432387,0.857142857142857,0.958333333333333,"record_equal","tenfold","M1","record_equal",6,0.142857142857143
0.730863631120076,0.857142857142857,1,"record_equal","tenfold","M1","record_equal",6,0.142857142857143
0.569643537819189,1,1,"record_equal","tenfold","M1","record_equal",6,0.142857142857143
Inf,0,0,"record_equal","tenfold","M1","record_equal",7,1
0.844080419103706,0,0.545454545454545,"record_equal","tenfold","M1","record_equal",7,1
0.827291708226309,0,0.818181818181818,"record_equal","tenfold","M1","record_equal",7,1
0.7377570320155,0,1,"record_equal","tenfold","M1","record_equal",7,1
0.259491711576073,1,1,"record_equal","tenfold","M1","record_equal",7,1
Inf,0,0,"record_equal","tenfold","M1","record_equal",8,0.914285714285714
0.847656512003684,0,0.571428571428571,"record_equal","tenfold","M1","record_equal",8,0.914285714285714
0.834980676225811,0.2,0.785714285714286,"record_equal","tenfold","M1","record_equal",8,0.914285714285714
0.767112620193673,0.4,1,"record_equal","tenfold","M1","record_equal",8,0.914285714285714
0.298189738562509,1,1,"record_equal","tenfold","M1","record_equal",8,0.914285714285714
Inf,0,0,"record_equal","tenfold","M1","record_equal",9,0.768518518518518
0.870935478093049,0,0.222222222222222,"record_equal","tenfold","M1","record_equal",9,0.768518518518518
0.788924933319384,0.166666666666667,0.333333333333333,"record_equal","tenfold","M1","record_equal",9,0.768518518518518
0.715831497784517,0.5,1,"record_equal","tenfold","M1","record_equal",9,0.768518518518518
0.662290836929668,1,1,"record_equal","tenfold","M1","record_equal",9,0.768518518518518
Inf,0,0,"record_equal","tenfold","M1","record_equal",10,0.888888888888889
