"Case","Mode","Parameter","Stan","Reference","AbsError","ScaledError"
"grid_43","a_b","a",20.9493369155584,20.9493369156618,1.03334230061591e-10,4.93257760269913e-12
"grid_43","a_b","b",-0.00164025916409477,-0.00164025916404594,4.88315984870091e-14,4.88315984870091e-14
"grid_44","a_b","a",5.76035548083052,5.76035548084386,1.33386635070565e-11,2.31559728412845e-12
"grid_44","a_b","b",-0.00153031111985202,-0.0015303111198615,9.47375858317834e-15,9.47375858317834e-15
"grid_45","a_b","a",1.17315014484967,1.17315014485244,2.77045053564962e-12,2.3615481341462e-12
"grid_45","a_b","b",-0.000999437664485598,-0.000999437664487198,1.59963188528511e-15,1.59963188528511e-15
"grid_46","a_b","a",-0.0202037490632605,-0.0202037490632754,1.49151524464486e-14,1.49151524464486e-14
"grid_46","a_b","b",0.000172235796764168,0.000172235796764249,8.03393809811759e-17,8.03393809811759e-17
"grid_47","a_b","a",-1.57584760586086,-1.57584760586147,6.04849503815785e-13,3.83824870860613e-13
"grid_47","a_b","b",0.039007648811602,0.039007648811656,5.40609224053412e-14,5.40609224053412e-14
"grid_48","a_b","a",-2.81658808685783,-2.81658808685611,1.72306613421824e-12,6.11756522815355e-13
"grid_48","a_b","b",0.172407457613896,0.172407457614057,1.61065605297495e-13,1.61065605297495e-13
"grid_49","a_b","a",-3.91278311571974,-3.91278311572137,1.62314606200198e-12,4.14831595311342e-13
"grid_49","a_b","b",0.683357100571151,0.683357100570561,5.90305582193196e-13,5.90305582193196e-13
"grid_50","a_b","a",7.64217143586895,7.64217143610635,2.37396768909548e-10,3.10640465075068e-11
"grid_50","a_b","b",9.9766965519009,9.97669655170933,1.91564097917762e-10,1.92011551042856e-11
"grid_51","a_b","a",-1.35522853314754,-1.35522853317397,2.64310795472511e-11,1.95030424022648e-11
"grid_51","a_b","b",16.1714937088931,16.1714937088645,2.8546054409162e-11,1.76520826851723e-12
"grid_52","a_b","a",-2.25918008237767,-2.2591800823842,6.52722320637622e-12,2.88920004973122e-12
"grid_52","a_b","b",19.8931454344554,19.893145434439,1.63531410635187e-11,8.22049037816219e-13
